Date,Product,Category,Quantity,Price
2025-01-01,Apple,Fruit,12,120
2025-01-02,Banana,Fruit,8,80
2025-01-03,Orange,Fruit,10,100
2025-01-04,Milk,Dairy,6,200
2025-01-05,Bread,Bakery,7,150
2025-01-06,Apple,Fruit,15,120
2025-01-07,Banana,Fruit,9,80
2025-01-08,Orange,Fruit,11,100
2025-01-09,Milk,Dairy,5,200
2025-01-10,Bread,Bakery,8,150
2025-01-11,Apple,Fruit,14,120
2025-01-12,Banana,Fruit,7,80
2025-01-13,Orange,Fruit,12,100
2025-01-14,Milk,Dairy,6,200
2025-01-15,Bread,Bakery,9,150
2025-01-16,Apple,Fruit,13,120
2025-01-17,Banana,Fruit,10,80
2025-01-18,Orange,Fruit,14,100
2025-01-19,Milk,Dairy,7,200
2025-01-20,Bread,Bakery,10,150
2025-01-21,Apple,Fruit,16,120
2025-01-22,Banana,Fruit,9,80
2025-01-23,Orange,Fruit,13,100
2025-01-24,Milk,Dairy,6,200
2025-01-25,Bread,Bakery,11,150
2025-01-26,Apple,Fruit,17,120
2025-01-27,Banana,Fruit,8,80
2025-01-28,Orange,Fruit,15,100
2025-01-29,Milk,Dairy,7,200
2025-01-30,Bread,Bakery,12,150
